Sex,Country,Year,Age_Group_5yr,Population
Female,Iran (Islamic Republic of),1950,0-4,127.586
Female,Iran (Islamic Republic of),1951,0-4,132.362
Female,Iran (Islamic Republic of),1952,0-4,135.172
Female,Iran (Islamic Republic of),1953,0-4,137.461
Female,Iran (Islamic Republic of),1954,0-4,138.847
Female,Iran (Islamic Republic of),1955,0-4,139.41
Female,Iran (Islamic Republic of),1956,0-4,141.128
Female,Iran (Islamic Republic of),1957,0-4,142.755
Female,Iran (Islamic Republic of),1958,0-4,142.899
Female,Iran (Islamic Republic of),1959,0-4,143.46200000000002
Female,Iran (Islamic Republic of),1960,0-4,142.65900000000002
Female,Iran (Islamic Republic of),1961,0-4,140.73100000000002
Female,Iran (Islamic Republic of),1962,0-4,140.091
Female,Iran (Islamic Republic of),1963,0-4,135.889
Female,Iran (Islamic Republic of),1964,0-4,133.32
Female,Iran (Islamic Republic of),1965,0-4,131.377
Female,Iran (Islamic Republic of),1966,0-4,130.018
Female,Iran (Islamic Republic of),1967,0-4,128.852
Female,Iran (Islamic Republic of),1968,0-4,128.756
Female,Iran (Islamic Republic of),1969,0-4,125.14300000000001
Female,Iran (Islamic Republic of),1970,0-4,121.598
Female,Iran (Islamic Republic of),1971,0-4,116.84399999999998
Female,Iran (Islamic Republic of),1972,0-4,111.85100000000001
Female,Iran (Islamic Republic of),1973,0-4,105.892
Female,Iran (Islamic Republic of),1974,0-4,101.72500000000001
Female,Iran (Islamic Republic of),1975,0-4,98.676
Female,Iran (Islamic Republic of),1976,0-4,97.073
Female,Iran (Islamic Republic of),1977,0-4,96.027
Female,Iran (Islamic Republic of),1978,0-4,98.79200000000002
Female,Iran (Islamic Republic of),1979,0-4,94.221
Female,Iran (Islamic Republic of),1980,0-4,92.94
Female,Iran (Islamic Republic of),1981,0-4,90.93599999999999
Female,Iran (Islamic Republic of),1982,0-4,89.85600000000001
Female,Iran (Islamic Republic of),1983,0-4,87.53099999999999
Female,Iran (Islamic Republic of),1984,0-4,84.23
Female,Iran (Islamic Republic of),1985,0-4,79.955
Female,Iran (Islamic Republic of),1986,0-4,75.427
Female,Iran (Islamic Republic of),1987,0-4,70.845
Female,Iran (Islamic Republic of),1988,0-4,65.685
Female,Iran (Islamic Republic of),1989,0-4,60.873999999999995
Female,Iran (Islamic Republic of),1990,0-4,61.654
Female,Iran (Islamic Republic of),1991,0-4,51.623999999999995
Female,Iran (Islamic Republic of),1992,0-4,46.18900000000001
Female,Iran (Islamic Republic of),1993,0-4,40.757999999999996
