CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,EVENTS
4.769,59.6413,2024,11
12.1336,62.3764,2021,1
12.1336,62.3764,2023,2
12.4081,48.278,2020,6
12.4081,48.278,2021,3
12.4081,48.278,2022,1
12.4081,48.278,2023,3
12.4081,48.278,2024,86
12.4081,48.278,2025,4
12.5081,53.893,2020,126
12.5081,53.893,2021,23
12.5081,53.893,2022,27
12.5081,53.893,2023,17
12.5081,53.893,2024,5
12.5081,53.893,2025,8
12.613,43.3362,2020,1
12.613,43.3362,2022,1
12.613,43.3362,2023,24
12.613,43.3362,2024,26
12.613,43.3362,2025,2
12.8058,44.788,2020,556
12.8058,44.788,2021,378
12.8058,44.788,2022,216
12.8058,44.788,2023,383
12.8058,44.788,2024,202
12.8058,44.788,2025,233
13.2949,43.7855,2020,888
13.2949,43.7855,2021,774
13.2949,43.7855,2022,1054
13.2949,43.7855,2023,845
13.2949,43.7855,2024,1128
13.2949,43.7855,2025,1144
13.3204,44.7623,2020,156
13.3204,44.7623,2021,148
13.3204,44.7623,2022,169
13.3204,44.7623,2023,194
13.3204,44.7623,2024,627
13.3204,44.7623,2025,502
13.6274,46.228,2020,733
13.6274,46.228,2021,207
13.6274,46.228,2022,260
13.6274,46.228,2023,326
13.6274,46.228,2024,471
13.6274,46.228,2025,297
13.8711,57.1292,2024,17
13.8711,57.1292,2025,5
13.8943,44.7825,2020,915
13.8943,44.7825,2021,315
13.8943,44.7825,2022,332
13.8943,44.7825,2023,248
13.8943,44.7825,2024,701
13.8943,44.7825,2025,536
14.0881,44.175,2020,145
14.0881,44.175,2021,114
14.0881,44.175,2022,164
14.0881,44.175,2023,342
14.0881,44.175,2024,1666
14.0881,44.175,2025,1980
14.326,45.216,2020,520
14.326,45.216,2021,380
14.326,45.216,2022,162
14.326,45.216,2023,111
14.326,45.216,2024,257
14.326,45.216,2025,260
14.5395,44.3063,2020,70
14.5395,44.3063,2021,52
14.5395,44.3063,2022,61
14.5395,44.3063,2023,217
14.5395,44.3063,2024,650
14.5395,44.3063,2025,143
14.651,46.62,2020,279
14.651,46.62,2021,291
14.651,46.62,2022,534
14.651,46.62,2023,322
14.651,46.62,2024,288
14.651,46.62,2025,237
14.657,43.6874,2020,6
14.657,43.6874,2021,23
14.657,43.6874,2022,22
14.657,43.6874,2023,93
14.657,43.6874,2024,243
14.657,43.6874,2025,133
14.7791,43.2181,2020,2937
14.7791,43.2181,2021,1917
14.7791,43.2181,2022,914
14.7791,43.2181,2023,683
14.7791,43.2181,2024,995
14.7791,43.2181,2025,711
15.3084,43.4994,2020,5
15.3084,43.4994,2021,36
15.3084,43.4994,2022,9
15.3084,43.4994,2023,72
15.3084,43.4994,2024,657
15.3084,43.4994,2025,175
15.3329,45.4523,2020,1660
15.3329,45.4523,2021,2245
15.3329,45.4523,2022,1293
15.3329,45.4523,2023,442
15.3329,45.4523,2024,648
15.3329,45.4523,2025,767
15.3931,44.4753,2020,350
15.3931,44.4753,2021,96
15.3931,44.4753,2022,108
15.3931,44.4753,2023,202
15.3931,44.4753,2024,327
15.3931,44.4753,2025,501
15.4201,44.1919,2020,169
15.4201,44.1919,2021,208
15.4201,44.1919,2022,175
15.4201,44.1919,2023,273
15.4201,44.1919,2024,531
15.4201,44.1919,2025,472
15.5791,40.9906,2020,16
15.5791,40.9906,2021,7
15.5791,40.9906,2022,9
15.5791,40.9906,2023,21
15.5791,40.9906,2024,188
15.5791,40.9906,2025,11
16.0944,43.2039,2020,279
16.0944,43.2039,2021,185
16.0944,43.2039,2022,741
16.0944,43.2039,2023,340
16.0944,43.2039,2024,629
16.0944,43.2039,2025,597
16.1156,43.9414,2020,54
16.1156,43.9414,2021,35
16.1156,43.9414,2022,62
16.1156,43.9414,2023,74
16.1156,43.9414,2024,628
16.1156,43.9414,2025,209
16.5288,48.6269,2020,146
16.5288,48.6269,2021,111
16.5288,48.6269,2022,173
16.5288,48.6269,2023,146
16.5288,48.6269,2024,113
16.5288,48.6269,2025,205
16.5757,53.0427,2022,1
16.5962,45.5989,2020,908
16.5962,45.5989,2021,481
16.5962,45.5989,2022,236
16.5962,45.5989,2023,143
16.5962,45.5989,2024,700
16.5962,45.5989,2025,483
