YEAR,COUNTRY,EVENTS
2020,Bahrain,299
2020,Iran,2387
2020,Iraq,6275
2020,Israel,1580
2020,Jordan,377
2020,Kuwait,21
2020,Lebanon,2931
2020,Oman,6
2020,Palestine,4741
2020,Qatar,7
2020,Saudi Arabia,120
2020,Syria,12366
2020,Turkey,4268
2020,United Arab Emirates,4
2020,Yemen,11826
2021,Bahrain,1187
2021,Iran,4288
2021,Iraq,7687
2021,Israel,1545
2021,Jordan,404
2021,Kuwait,15
2021,Lebanon,3210
2021,Oman,21
2021,Palestine,6124
2021,Qatar,19
2021,Saudi Arabia,241
2021,Syria,10801
2021,Turkey,4741
2021,United Arab Emirates,4
2021,Yemen,8831
2022,Bahrain,729
2022,Iran,4613
2022,Iraq,7903
2022,Israel,1043
2022,Jordan,466
2022,Kuwait,23
2022,Lebanon,1310
2022,Oman,9
2022,Palestine,7915
2022,Qatar,10
2022,Saudi Arabia,63
2022,Syria,12621
2022,Turkey,5641
2022,United Arab Emirates,25
2022,Yemen,7918
2023,Bahrain,823
2023,Iran,4181
2023,Iraq,6552
2023,Israel,4313
2023,Jordan,463
2023,Kuwait,18
2023,Lebanon,3398
2023,Oman,15
2023,Palestine,13195
2023,Qatar,20
2023,Saudi Arabia,24
2023,Syria,12810
2023,Turkey,6073
2023,United Arab Emirates,4
2023,Yemen,6092
2024,Bahrain,825
2024,Iran,3786
2024,Iraq,9521
2024,Israel,5887
2024,Jordan,323
2024,Kuwait,9
2024,Lebanon,14531
2024,Oman,6
2024,Palestine,21000
2024,Saudi Arabia,5
2024,Syria,15816
2024,Turkey,7235
2024,United Arab Emirates,2
2024,Yemen,12950
2025,Bahrain,583
2025,Iran,3614
2025,Iraq,4845
2025,Israel,1943
2025,Jordan,88
2025,Lebanon,3041
2025,Oman,1
2025,Palestine,15451
2025,Qatar,4
2025,Saudi Arabia,18
2025,Syria,8407
2025,Turkey,4775
2025,United Arab Emirates,3
2025,Yemen,11091
