WEEK,COUNTRY,EVENTS
2022-11-19,Bahrain,1
2024-02-10,Bahrain,1
2020-01-04,Bahrain,1
2020-01-18,Bahrain,1
2020-01-25,Bahrain,1
2020-02-01,Bahrain,2
2020-02-08,Bahrain,15
2020-02-15,Bahrain,2
2020-02-22,Bahrain,1
2020-02-29,Bahrain,1
2020-03-14,Bahrain,1
2020-03-28,Bahrain,2
2020-04-04,Bahrain,1
2020-05-02,Bahrain,1
2020-05-23,Bahrain,1
2020-09-12,Bahrain,19
2020-09-19,Bahrain,2
2020-09-26,Bahrain,1
2020-10-17,Bahrain,3
2020-10-24,Bahrain,2
2020-11-07,Bahrain,1
2020-12-12,Bahrain,4
2021-01-16,Bahrain,1
2021-01-23,Bahrain,1
2021-01-30,Bahrain,2
2021-02-06,Bahrain,4
2021-02-13,Bahrain,7
2021-02-27,Bahrain,1
2021-03-20,Bahrain,1
2021-03-27,Bahrain,24
2021-04-03,Bahrain,60
2021-04-10,Bahrain,27
2021-04-17,Bahrain,39
2021-04-24,Bahrain,36
2021-05-01,Bahrain,10
2021-05-08,Bahrain,16
2021-05-15,Bahrain,13
2021-05-22,Bahrain,3
2021-06-05,Bahrain,8
2021-06-12,Bahrain,1
2021-06-19,Bahrain,1
2021-06-26,Bahrain,4
2021-07-03,Bahrain,15
2021-07-10,Bahrain,11
2021-07-17,Bahrain,2
2021-07-24,Bahrain,5
2021-07-31,Bahrain,8
2021-08-07,Bahrain,6
2021-08-14,Bahrain,4
2021-08-21,Bahrain,6
2021-08-28,Bahrain,8
2021-09-04,Bahrain,7
2021-09-11,Bahrain,13
2021-09-18,Bahrain,8
2021-09-25,Bahrain,8
2021-10-02,Bahrain,11
2021-10-09,Bahrain,7
2021-10-16,Bahrain,7
2021-10-23,Bahrain,5
2021-10-30,Bahrain,6
2021-11-06,Bahrain,8
2021-11-13,Bahrain,6
2021-11-20,Bahrain,6
2021-11-27,Bahrain,7
2021-12-04,Bahrain,7
2021-12-11,Bahrain,8
2021-12-18,Bahrain,8
2021-12-25,Bahrain,10
2022-01-01,Bahrain,7
2022-01-08,Bahrain,7
2022-01-15,Bahrain,5
2022-01-22,Bahrain,9
2022-01-29,Bahrain,7
2022-02-05,Bahrain,13
2022-02-12,Bahrain,18
2022-02-19,Bahrain,7
2022-02-26,Bahrain,6
2022-03-05,Bahrain,8
2022-03-12,Bahrain,8
2022-03-19,Bahrain,7
2022-03-26,Bahrain,9
2022-04-02,Bahrain,7
2022-04-09,Bahrain,10
2022-04-16,Bahrain,6
2022-04-23,Bahrain,12
2022-04-30,Bahrain,2
2022-05-07,Bahrain,7
2022-05-14,Bahrain,9
2022-05-21,Bahrain,6
2022-05-28,Bahrain,7
2022-06-04,Bahrain,14
2022-06-11,Bahrain,10
2022-06-18,Bahrain,11
2022-06-25,Bahrain,9
2022-07-02,Bahrain,6
2022-07-09,Bahrain,3
2022-07-16,Bahrain,7
2022-07-23,Bahrain,8
2022-07-30,Bahrain,7
2022-08-06,Bahrain,5
2022-08-13,Bahrain,7
2022-08-20,Bahrain,8
2022-08-27,Bahrain,8
2022-09-03,Bahrain,7
2022-09-10,Bahrain,5
2022-09-17,Bahrain,6
