Sex,Country,Year,Age_Group_5yr,Population
Male,Iran (Islamic Republic of),1950,0-4,1299.3095
Male,Iran (Islamic Republic of),1951,0-4,1401.7485
Male,Iran (Islamic Republic of),1952,0-4,1501.805
Male,Iran (Islamic Republic of),1953,0-4,1600.3685
Male,Iran (Islamic Republic of),1954,0-4,1677.635
Male,Iran (Islamic Republic of),1955,0-4,1736.4445
Male,Iran (Islamic Republic of),1956,0-4,1799.284
Male,Iran (Islamic Republic of),1957,0-4,1865.7395000000001
Male,Iran (Islamic Republic of),1958,0-4,1935.4295
Male,Iran (Islamic Republic of),1959,0-4,2008.9485
Male,Iran (Islamic Republic of),1960,0-4,2079.543
Male,Iran (Islamic Republic of),1961,0-4,2141.0875
Male,Iran (Islamic Republic of),1962,0-4,2194.098
Male,Iran (Islamic Republic of),1963,0-4,2239.8565
Male,Iran (Islamic Republic of),1964,0-4,2280.001
Male,Iran (Islamic Republic of),1965,0-4,2321.71
Male,Iran (Islamic Republic of),1966,0-4,2371.8835
Male,Iran (Islamic Republic of),1967,0-4,2429.687
Male,Iran (Islamic Republic of),1968,0-4,2492.457
Male,Iran (Islamic Republic of),1969,0-4,2558.8830000000003
Male,Iran (Islamic Republic of),1970,0-4,2624.3025000000002
Male,Iran (Islamic Republic of),1971,0-4,2681.6315
Male,Iran (Islamic Republic of),1972,0-4,2727.259
Male,Iran (Islamic Republic of),1973,0-4,2766.1580000000004
Male,Iran (Islamic Republic of),1974,0-4,2809.7169999999996
Male,Iran (Islamic Republic of),1975,0-4,2867.054
Male,Iran (Islamic Republic of),1976,0-4,2950.1370000000006
Male,Iran (Islamic Republic of),1977,0-4,3068.1765000000005
Male,Iran (Islamic Republic of),1978,0-4,3219.9615
Male,Iran (Islamic Republic of),1979,0-4,3404.5945
Male,Iran (Islamic Republic of),1980,0-4,3612.03
Male,Iran (Islamic Republic of),1981,0-4,3832.0305
Male,Iran (Islamic Republic of),1982,0-4,4061.4050000000007
Male,Iran (Islamic Republic of),1983,0-4,4283.9915
Male,Iran (Islamic Republic of),1984,0-4,4482.478
Male,Iran (Islamic Republic of),1985,0-4,4650.396
Male,Iran (Islamic Republic of),1986,0-4,4790.004000000001
Male,Iran (Islamic Republic of),1987,0-4,4880.9835
Male,Iran (Islamic Republic of),1988,0-4,4914.394499999999
Male,Iran (Islamic Republic of),1989,0-4,4905.914000000001
Male,Iran (Islamic Republic of),1990,0-4,4867.014
Male,Iran (Islamic Republic of),1991,0-4,4798.1395
Male,Iran (Islamic Republic of),1992,0-4,4675.755999999999
Male,Iran (Islamic Republic of),1993,0-4,4470.75
Male,Iran (Islamic Republic of),1994,0-4,4195.0995
Male,Iran (Islamic Republic of),1995,0-4,3875.3025
Male,Iran (Islamic Republic of),1996,0-4,3532.048
Male,Iran (Islamic Republic of),1997,0-4,3210.1324999999997
Male,Iran (Islamic Republic of),1998,0-4,2946.009
Male,Iran (Islamic Republic of),1999,0-4,2766.1275000000005
Male,Iran (Islamic Republic of),2000,0-4,2670.5634999999997
Male,Iran (Islamic Republic of),2001,0-4,2636.0495
Male,Iran (Islamic Republic of),2002,0-4,2627.2070000000003
Male,Iran (Islamic Republic of),2003,0-4,2669.8835000000004
Male,Iran (Islamic Republic of),2004,0-4,2767.0825
Male,Iran (Islamic Republic of),2005,0-4,2862.3769999999995
Male,Iran (Islamic Republic of),2006,0-4,2945.9255
Male,Iran (Islamic Republic of),2007,0-4,3021.936
Male,Iran (Islamic Republic of),2008,0-4,3108.654
Male,Iran (Islamic Republic of),2009,0-4,3210.0895
Male,Iran (Islamic Republic of),2010,0-4,3307.25
Male,Iran (Islamic Republic of),2011,0-4,3378.368
Male,Iran (Islamic Republic of),2012,0-4,3442.6865
Male,Iran (Islamic Republic of),2013,0-4,3526.7819999999997
Male,Iran (Islamic Republic of),2014,0-4,3628.0195000000003
Male,Iran (Islamic Republic of),2015,0-4,3739.4455
Male,Iran (Islamic Republic of),2016,0-4,3838.9485000000004
Male,Iran (Islamic Republic of),2017,0-4,3903.828
Male,Iran (Islamic Republic of),2018,0-4,3908.635
Male,Iran (Islamic Republic of),2019,0-4,3826.95
Male,Iran (Islamic Republic of),2020,0-4,3670.7505
Male,Iran (Islamic Republic of),2021,0-4,3492.5095
Male,Iran (Islamic Republic of),2022,0-4,3324.9010000000003
Male,Iran (Islamic Republic of),2023,0-4,3180.817
Male,Bahrain,1950,0-4,10.446
Male,Bahrain,1951,0-4,10.5755
Male,Bahrain,1952,0-4,10.7645
Male,Bahrain,1953,0-4,11.067
Male,Bahrain,1954,0-4,11.527999999999999
Male,Bahrain,1955,0-4,12.0705
Male,Bahrain,1956,0-4,12.633999999999999
Male,Bahrain,1957,0-4,13.25
Male,Bahrain,1958,0-4,13.933499999999999
Male,Bahrain,1959,0-4,14.684499999999998
Male,Bahrain,1960,0-4,15.4895
Male,Bahrain,1961,0-4,16.333
Male,Bahrain,1962,0-4,17.1885
Male,Bahrain,1963,0-4,18.0235
Male,Bahrain,1964,0-4,18.8235
Male,Bahrain,1965,0-4,19.572
Male,Bahrain,1966,0-4,20.239500000000003
Male,Bahrain,1967,0-4,20.811999999999998
Male,Bahrain,1968,0-4,20.904999999999998
Male,Bahrain,1969,0-4,20.345000000000002
Male,Bahrain,1970,0-4,19.4885
Male,Bahrain,1971,0-4,18.931
Male,Bahrain,1972,0-4,18.957
Male,Bahrain,1973,0-4,19.3375
Male,Bahrain,1974,0-4,19.991999999999997
Male,Bahrain,1975,0-4,20.874000000000002
Male,Bahrain,1976,0-4,21.8585
Male,Bahrain,1977,0-4,22.7695
Male,Bahrain,1978,0-4,23.509
Male,Bahrain,1979,0-4,24.073500000000003
Male,Bahrain,1980,0-4,24.477
Male,Bahrain,1981,0-4,24.7775
Male,Bahrain,1982,0-4,25.220499999999998
Male,Bahrain,1983,0-4,25.9945
Male,Bahrain,1984,0-4,27.093999999999998
Male,Bahrain,1985,0-4,28.502000000000002
Male,Bahrain,1986,0-4,30.1
