COUNTRY,YEAR,EVENT_TYPE,EVENTS
Bahrain,2020,Protests,163
Bahrain,2020,Riots,109
Bahrain,2020,Strategic developments,21
Bahrain,2020,Violence against civilians,6
Bahrain,2021,Protests,1073
Bahrain,2021,Riots,65
Bahrain,2021,Strategic developments,32
Bahrain,2021,Violence against civilians,17
Bahrain,2022,Protests,676
Bahrain,2022,Riots,19
Bahrain,2022,Strategic developments,26
Bahrain,2022,Violence against civilians,8
Bahrain,2023,Protests,715
Bahrain,2023,Riots,96
Bahrain,2023,Strategic developments,9
Bahrain,2023,Violence against civilians,3
Bahrain,2024,Protests,651
Bahrain,2024,Riots,163
Bahrain,2024,Strategic developments,8
Bahrain,2024,Violence against civilians,3
Bahrain,2025,Protests,394
Bahrain,2025,Riots,174
Bahrain,2025,Strategic developments,10
Bahrain,2025,Violence against civilians,5
Iran,2020,Battles,45
Iran,2020,Explosions/Remote violence,19
Iran,2020,Protests,1960
Iran,2020,Riots,51
Iran,2020,Strategic developments,201
Iran,2020,Violence against civilians,111
Iran,2021,Battles,49
Iran,2021,Explosions/Remote violence,16
Iran,2021,Protests,3874
Iran,2021,Riots,140
Iran,2021,Strategic developments,112
Iran,2021,Violence against civilians,97
Iran,2022,Battles,46
Iran,2022,Explosions/Remote violence,4
Iran,2022,Protests,3802
Iran,2022,Riots,500
Iran,2022,Strategic developments,78
Iran,2022,Violence against civilians,183
Iran,2023,Battles,56
Iran,2023,Explosions/Remote violence,21
Iran,2023,Protests,3513
Iran,2023,Riots,145
Iran,2023,Strategic developments,353
Iran,2023,Violence against civilians,93
Iran,2024,Battles,62
Iran,2024,Explosions/Remote violence,42
Iran,2024,Protests,3549
Iran,2024,Riots,17
Iran,2024,Strategic developments,74
Iran,2024,Violence against civilians,42
Iran,2025,Battles,56
Iran,2025,Explosions/Remote violence,397
Iran,2025,Protests,2876
Iran,2025,Riots,20
Iran,2025,Strategic developments,208
Iran,2025,Violence against civilians,57
Iraq,2020,Battles,949
Iraq,2020,Explosions/Remote violence,2012
Iraq,2020,Protests,1780
Iraq,2020,Riots,442
Iraq,2020,Strategic developments,658
Iraq,2020,Violence against civilians,434
Iraq,2021,Battles,1546
Iraq,2021,Explosions/Remote violence,2935
Iraq,2021,Protests,1505
Iraq,2021,Riots,259
Iraq,2021,Strategic developments,1015
Iraq,2021,Violence against civilians,427
Iraq,2022,Battles,2004
Iraq,2022,Explosions/Remote violence,3469
Iraq,2022,Protests,1018
Iraq,2022,Riots,134
Iraq,2022,Strategic developments,761
Iraq,2022,Violence against civilians,517
Iraq,2023,Battles,1247
Iraq,2023,Explosions/Remote violence,3217
Iraq,2023,Protests,822
Iraq,2023,Riots,60
Iraq,2023,Strategic developments,803
Iraq,2023,Violence against civilians,403
Iraq,2024,Battles,1059
Iraq,2024,Explosions/Remote violence,5507
Iraq,2024,Protests,891
Iraq,2024,Riots,88
Iraq,2024,Strategic developments,1665
Iraq,2024,Violence against civilians,311
Iraq,2025,Battles,416
Iraq,2025,Explosions/Remote violence,1771
Iraq,2025,Protests,1158
Iraq,2025,Riots,72
Iraq,2025,Strategic developments,1202
Iraq,2025,Violence against civilians,226
Israel,2020,Battles,2
Israel,2020,Explosions/Remote violence,112
Israel,2020,Protests,1222
Israel,2020,Riots,148
Israel,2020,Strategic developments,84
Israel,2020,Violence against civilians,12
Israel,2021,Battles,9
Israel,2021,Explosions/Remote violence,129
Israel,2021,Protests,994
Israel,2021,Riots,277
Israel,2021,Strategic developments,106
Israel,2021,Violence against civilians,30
Israel,2022,Battles,5
Israel,2022,Explosions/Remote violence,30
Israel,2022,Protests,747
Israel,2022,Riots,129
Israel,2022,Strategic developments,102
Israel,2022,Violence against civilians,30
Israel,2023,Battles,159
Israel,2023,Explosions/Remote violence,950
Israel,2023,Protests,2408
Israel,2023,Riots,150
Israel,2023,Strategic developments,558
Israel,2023,Violence against civilians,88
Israel,2024,Battles,157
Israel,2024,Explosions/Remote violence,3245
Israel,2024,Protests,1476
Israel,2024,Riots,161
Israel,2024,Strategic developments,792
Israel,2024,Violence against civilians,56
Israel,2025,Battles,4
Israel,2025,Explosions/Remote violence,161
Israel,2025,Protests,1340
Israel,2025,Riots,138
Israel,2025,Strategic developments,291
Israel,2025,Violence against civilians,9
Jordan,2020,Battles,11
Jordan,2020,Explosions/Remote violence,1
Jordan,2020,Protests,281
Jordan,2020,Riots,59
Jordan,2020,Strategic developments,25
Jordan,2021,Battles,11
Jordan,2021,Protests,343
Jordan,2021,Riots,35
Jordan,2021,Strategic developments,14
Jordan,2021,Violence against civilians,1
Jordan,2022,Battles,13
Jordan,2022,Protests,390
Jordan,2022,Riots,57
Jordan,2022,Strategic developments,4
Jordan,2022,Violence against civilians,2
Jordan,2023,Battles,7
Jordan,2023,Explosions/Remote violence,1
Jordan,2023,Protests,418
Jordan,2023,Riots,21
Jordan,2023,Strategic developments,15
Jordan,2023,Violence against civilians,1
Jordan,2024,Battles,1
Jordan,2024,Explosions/Remote violence,1
Jordan,2024,Protests,296
Jordan,2024,Riots,10
Jordan,2024,Strategic developments,15
Jordan,2025,Battles,2
Jordan,2025,Explosions/Remote violence,3
Jordan,2025,Protests,67
Jordan,2025,Riots,2
Jordan,2025,Strategic developments,13
Jordan,2025,Violence against civilians,1
Kuwait,2020,Protests,14
Kuwait,2020,Riots,2
Kuwait,2020,Strategic developments,5
Kuwait,2021,Protests,12
Kuwait,2021,Strategic developments,3
Kuwait,2022,Protests,16
Kuwait,2022,Strategic developments,7
Kuwait,2023,Protests,9
Kuwait,2023,Strategic developments,9
Kuwait,2024,Protests,1
Kuwait,2024,Strategic developments,8
Lebanon,2020,Battles,60
Lebanon,2020,Explosions/Remote violence,22
Lebanon,2020,Protests,2171
Lebanon,2020,Riots,568
Lebanon,2020,Strategic developments,61
Lebanon,2020,Violence against civilians,49
Lebanon,2021,Battles,74
Lebanon,2021,Explosions/Remote violence,31
Lebanon,2021,Protests,2160
Lebanon,2021,Riots,834
Lebanon,2021,Strategic developments,85
Lebanon,2021,Violence against civilians,26
Lebanon,2022,Battles,106
Lebanon,2022,Explosions/Remote violence,13
Lebanon,2022,Protests,819
Lebanon,2022,Riots,254
Lebanon,2022,Strategic developments,92
Lebanon,2022,Violence against civilians,26
Lebanon,2023,Battles,142
Lebanon,2023,Explosions/Remote violence,2073
Lebanon,2023,Protests,870
Lebanon,2023,Riots,185
Lebanon,2023,Strategic developments,98
Lebanon,2023,Violence against civilians,30
Lebanon,2024,Battles,206
Lebanon,2024,Explosions/Remote violence,13065
Lebanon,2024,Protests,229
Lebanon,2024,Riots,65
Lebanon,2024,Strategic developments,943
Lebanon,2024,Violence against civilians,23
Lebanon,2025,Battles,115
Lebanon,2025,Explosions/Remote violence,1361
Lebanon,2025,Protests,288
Lebanon,2025,Riots,69
Lebanon,2025,Strategic developments,1094
Lebanon,2025,Violence against civilians,114
Oman,2020,Strategic developments,6
Oman,2021,Explosions/Remote violence,1
Oman,2021,Protests,13
Oman,2021,Riots,6
Oman,2021,Strategic developments,1
Oman,2022,Strategic developments,9
Oman,2023,Protests,7
Oman,2023,Strategic developments,8
Oman,2024,Battles,1
Oman,2024,Strategic developments,1
Oman,2024,Violence against civilians,4
Oman,2025,Strategic developments,1
Palestine,2020,Battles,92
Palestine,2020,Explosions/Remote violence,191
Palestine,2020,Protests,358
Palestine,2020,Riots,2144
Palestine,2020,Strategic developments,1649
Palestine,2020,Violence against civilians,307
Palestine,2021,Battles,115
Palestine,2021,Explosions/Remote violence,402
Palestine,2021,Protests,988
Palestine,2021,Riots,2952
Palestine,2021,Strategic developments,1264
Palestine,2021,Violence against civilians,403
Palestine,2022,Battles,500
Palestine,2022,Explosions/Remote violence,116
Palestine,2022,Protests,824
Palestine,2022,Riots,4198
Palestine,2022,Strategic developments,1920
Palestine,2022,Violence against civilians,357
Palestine,2023,Battles,1892
Palestine,2023,Explosions/Remote violence,3517
Palestine,2023,Protests,824
Palestine,2023,Riots,4640
Palestine,2023,Strategic developments,1452
Palestine,2023,Violence against civilians,870
Palestine,2024,Battles,2365
Palestine,2024,Explosions/Remote violence,10921
Palestine,2024,Protests,417
Palestine,2024,Riots,3968
Palestine,2024,Strategic developments,2209
Palestine,2024,Violence against civilians,1120
Palestine,2025,Battles,473
Palestine,2025,Explosions/Remote violence,6572
Palestine,2025,Protests,228
Palestine,2025,Riots,3543
Palestine,2025,Strategic developments,2700
Palestine,2025,Violence against civilians,1935
Qatar,2020,Protests,2
Qatar,2020,Strategic developments,5
Qatar,2021,Protests,15
Qatar,2021,Strategic developments,4
Qatar,2022,Protests,7
Qatar,2022,Riots,1
Qatar,2022,Strategic developments,2
Qatar,2023,Protests,17
Qatar,2023,Strategic developments,3
Qatar,2025,Explosions/Remote violence,2
Qatar,2025,Strategic developments,2
Saudi Arabia,2020,Battles,6
Saudi Arabia,2020,Explosions/Remote violence,41
