COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,EVENTS
Bahrain,25.9954,50.5421,2020,10
Bahrain,25.9954,50.5421,2021,67
Bahrain,25.9954,50.5421,2022,25
Bahrain,25.9954,50.5421,2023,35
Bahrain,25.9954,50.5421,2024,49
Bahrain,25.9954,50.5421,2025,41
Bahrain,26.1468,50.4809,2020,150
Bahrain,26.1468,50.4809,2021,536
Bahrain,26.1468,50.4809,2022,223
Bahrain,26.1468,50.4809,2023,304
Bahrain,26.1468,50.4809,2024,363
Bahrain,26.1468,50.4809,2025,240
Bahrain,26.1927,50.5508,2020,124
Bahrain,26.1927,50.5508,2021,501
Bahrain,26.1927,50.5508,2022,461
Bahrain,26.1927,50.5508,2023,455
Bahrain,26.1927,50.5508,2024,373
Bahrain,26.1927,50.5508,2025,271
Bahrain,26.2547,50.6428,2020,15
Bahrain,26.2547,50.6428,2021,82
Bahrain,26.2547,50.6428,2022,18
Bahrain,26.2547,50.6428,2023,29
Bahrain,26.2547,50.6428,2024,40
Bahrain,26.2547,50.6428,2025,31
Bahrain,27.0645,51.452,2021,1
Bahrain,27.0645,51.452,2022,2
Iran,12.1336,62.3764,2021,1
Iran,12.1336,62.3764,2023,1
Iran,22.0188,62.9761,2023,1
Iran,24.5876,58.5161,2021,3
Iran,24.5876,58.5161,2022,1
Iran,24.5876,58.5161,2023,2
Iran,24.5876,58.5161,2024,1
Iran,24.5876,58.5161,2025,2
Iran,26.6719,56.4867,2023,1
Iran,26.6719,56.4867,2024,1
Iran,27.0645,51.452,2022,1
Iran,27.0645,51.452,2025,5
Iran,27.1422,55.0325,2020,60
Iran,27.1422,55.0325,2021,71
Iran,27.1422,55.0325,2022,97
Iran,27.1422,55.0325,2023,110
Iran,27.1422,55.0325,2024,133
Iran,27.1422,55.0325,2025,134
Iran,28.2728,60.8613,2020,75
Iran,28.2728,60.8613,2021,150
Iran,28.2728,60.8613,2022,187
Iran,28.2728,60.8613,2023,297
Iran,28.2728,60.8613,2024,237
Iran,28.2728,60.8613,2025,197
Iran,28.7846,51.5038,2020,44
Iran,28.7846,51.5038,2021,92
Iran,28.7846,51.5038,2022,62
Iran,28.7846,51.5038,2023,94
Iran,28.7846,51.5038,2024,148
Iran,28.7846,51.5038,2025,167
Iran,29.2326,57.3392,2020,62
Iran,29.2326,57.3392,2021,142
Iran,29.2326,57.3392,2022,70
Iran,29.2326,57.3392,2023,87
Iran,29.2326,57.3392,2024,122
Iran,29.2326,57.3392,2025,88
Iran,29.3576,53.3176,2020,57
Iran,29.3576,53.3176,2021,173
Iran,29.3576,53.3176,2022,190
Iran,29.3576,53.3176,2023,125
Iran,29.3576,53.3176,2024,147
Iran,29.3576,53.3176,2025,113
Iran,30.7032,51.0949,2020,75
Iran,30.7032,51.0949,2021,90
Iran,30.7032,51.0949,2022,70
Iran,30.7032,51.0949,2023,60
Iran,30.7032,51.0949,2024,57
Iran,30.7032,51.0949,2025,54
Iran,31.4636,48.9916,2020,520
Iran,31.4636,48.9916,2021,793
Iran,31.4636,48.9916,2022,449
Iran,31.4636,48.9916,2023,478
Iran,31.4636,48.9916,2024,425
Iran,31.4636,48.9916,2025,305
Iran,31.4825,54.4162,2020,41
Iran,31.4825,54.4162,2021,74
Iran,31.4825,54.4162,2022,81
Iran,31.4825,54.4162,2023,78
Iran,31.4825,54.4162,2024,87
Iran,31.4825,54.4162,2025,54
Iran,31.979,50.8101,2020,21
Iran,31.979,50.8101,2021,76
Iran,31.979,50.8101,2022,55
Iran,31.979,50.8101,2023,54
Iran,31.979,50.8101,2024,51
Iran,31.979,50.8101,2025,50
Iran,32.6094,52.0477,2020,87
Iran,32.6094,52.0477,2021,272
Iran,32.6094,52.0477,2022,272
Iran,32.6094,52.0477,2023,204
Iran,32.6094,52.0477,2024,230
Iran,32.6094,52.0477,2025,230
Iran,32.8019,58.24,2020,5
Iran,32.8019,58.24,2021,13
Iran,32.8019,58.24,2022,9
Iran,32.8019,58.24,2023,26
Iran,32.8019,58.24,2024,25
Iran,32.8019,58.24,2025,28
Iran,33.0433,46.8724,2020,29
Iran,33.0433,46.8724,2021,67
Iran,33.0433,46.8724,2022,88
Iran,33.0433,46.8724,2023,107
Iran,33.0433,46.8724,2024,86
Iran,33.0433,46.8724,2025,72
Iran,33.5164,48.3219,2020,39
Iran,33.5164,48.3219,2021,126
Iran,33.5164,48.3219,2022,124
Iran,33.5164,48.3219,2023,93
Iran,33.5164,48.3219,2024,85
Iran,33.5164,48.3219,2025,78
Iran,34.4772,49.5818,2020,51
Iran,34.4772,49.5818,2021,86
Iran,34.4772,49.5818,2022,95
Iran,34.4772,49.5818,2023,106
Iran,34.4772,49.5818,2024,96
Iran,34.4772,49.5818,2025,96
Iran,34.4871,46.8086,2020,86
Iran,34.4871,46.8086,2021,121
Iran,34.4871,46.8086,2022,185
Iran,34.4871,46.8086,2023,219
Iran,34.4871,46.8086,2024,173
Iran,34.4871,46.8086,2025,154
Iran,34.6674,51.002,2020,16
Iran,34.6674,51.002,2021,46
Iran,34.6674,51.002,2022,44
Iran,34.6674,51.002,2023,35
Iran,34.6674,51.002,2024,39
Iran,34.6674,51.002,2025,44
Iran,34.8698,48.559,2020,16
Iran,34.8698,48.559,2021,49
Iran,34.8698,48.559,2022,76
Iran,34.8698,48.559,2023,71
Iran,34.8698,48.559,2024,67
Iran,34.8698,48.559,2025,63
Iran,35.5022,51.3269,2020,424
Iran,35.5022,51.3269,2021,706
Iran,35.5022,51.3269,2022,934
Iran,35.5022,51.3269,2023,556
Iran,35.5022,51.3269,2024,497
Iran,35.5022,51.3269,2025,634
Iran,35.6014,47.0057,2020,105
Iran,35.6014,47.0057,2021,154
Iran,35.6014,47.0057,2022,301
Iran,35.6014,47.0057,2023,263
Iran,35.6014,47.0057,2024,175
Iran,35.6014,47.0057,2025,151
Iran,35.7792,59.0295,2020,79
Iran,35.7792,59.0295,2021,166
Iran,35.7792,59.0295,2022,155
Iran,35.7792,59.0295,2023,152
Iran,35.7792,59.0295,2024,130
Iran,35.7792,59.0295,2025,153
Iran,35.7868,54.9676,2020,21
Iran,35.7868,54.9676,2021,38
Iran,35.7868,54.9676,2022,37
Iran,35.7868,54.9676,2023,31
Iran,35.7868,54.9676,2024,60
Iran,35.7868,54.9676,2025,54
Iran,35.9457,50.906,2020,35
Iran,35.9457,50.906,2021,83
Iran,35.9457,50.906,2022,108
Iran,35.9457,50.906,2023,74
Iran,35.9457,50.906,2024,33
Iran,35.9457,50.906,2025,50
Iran,36.1089,50.0386,2020,44
Iran,36.1089,50.0386,2021,70
Iran,36.1089,50.0386,2022,88
Iran,36.1089,50.0386,2023,104
Iran,36.1089,50.0386,2024,76
Iran,36.1089,50.0386,2025,58
Iran,36.3633,52.3677,2020,37
Iran,36.3633,52.3677,2021,93
Iran,36.3633,52.3677,2022,133
Iran,36.3633,52.3677,2023,125
Iran,36.3633,52.3677,2024,101
Iran,36.3633,52.3677,2025,84
Iran,36.4014,48.422,2020,21
Iran,36.4014,48.422,2021,41
Iran,36.4014,48.422,2022,65
Iran,36.4014,48.422,2023,55
Iran,36.4014,48.422,2024,67
Iran,36.4014,48.422,2025,56
Iran,37.2982,54.8804,2020,11
Iran,37.2982,54.8804,2021,32
Iran,37.2982,54.8804,2022,26
Iran,37.2982,54.8804,2023,40
Iran,37.2982,54.8804,2024,28
Iran,37.2982,54.8804,2025,29
Iran,37.4249,57.178,2020,17
Iran,37.4249,57.178,2021,34
Iran,37.4249,57.178,2022,43
Iran,37.4249,57.178,2023,45
Iran,37.4249,57.178,2024,28
Iran,37.4249,57.178,2025,20
Iran,37.5092,49.0189,2020,58
Iran,37.5092,49.0189,2021,100
Iran,37.5092,49.0189,2022,178
Iran,37.5092,49.0189,2023,150
Iran,37.5092,49.0189,2024,123
Iran,37.5092,49.0189,2025,163
Iran,37.8742,44.7003,2020,150
Iran,37.8742,44.7003,2021,128
Iran,37.8742,44.7003,2022,184
Iran,37.8742,44.7003,2023,135
Iran,37.8742,44.7003,2024,84
Iran,37.8742,44.7003,2025,73
Iran,38.0858,46.6924,2020,83
Iran,38.0858,46.6924,2021,152
Iran,38.0858,46.6924,2022,152
Iran,38.0858,46.6924,2023,108
Iran,38.0858,46.6924,2024,116
Iran,38.0858,46.6924,2025,123
Iran,38.4066,47.9857,2020,18
Iran,38.4066,47.9857,2021,46
Iran,38.4066,47.9857,2022,53
Iran,38.4066,47.9857,2023,94
Iran,38.4066,47.9857,2024,58
Iran,38.4066,47.9857,2025,32
Iraq,30.2047,47.5084,2020,534
Iraq,30.2047,47.5084,2021,439
Iraq,30.2047,47.5084,2022,352
Iraq,30.2047,47.5084,2023,301
Iraq,30.2047,47.5084,2024,368
Iraq,30.2047,47.5084,2025,424
Iraq,30.4107,45.3606,2020,250
Iraq,30.4107,45.3606,2021,203
Iraq,30.4107,45.3606,2022,208
Iraq,30.4107,45.3606,2023,149
Iraq,30.4107,45.3606,2024,191
Iraq,30.4107,45.3606,2025,166
Iraq,31.0697,43.38,2020,83
Iraq,31.0697,43.38,2021,55
Iraq,31.0697,43.38,2022,62
Iraq,31.0697,43.38,2023,55
Iraq,31.0697,43.38,2024,68
Iraq,31.0697,43.38,2025,84
Iraq,31.2876,46.2732,2020,517
Iraq,31.2876,46.2732,2021,597
Iraq,31.2876,46.2732,2022,334
Iraq,31.2876,46.2732,2023,265
Iraq,31.2876,46.2732,2024,215
Iraq,31.2876,46.2732,2025,102
Iraq,31.8451,45.1666,2020,273
Iraq,31.8451,45.1666,2021,175
Iraq,31.8451,45.1666,2022,28
Iraq,31.8451,45.1666,2023,23
Iraq,31.8451,45.1666,2024,60
Iraq,31.8451,45.1666,2025,110
Iraq,31.999,47.135,2020,123
Iraq,31.999,47.135,2021,232
Iraq,31.999,47.135,2022,251
Iraq,31.999,47.135,2023,253
Iraq,31.999,47.135,2024,216
Iraq,31.999,47.135,2025,226
Iraq,32.49,43.8069,2020,74
Iraq,32.49,43.8069,2021,56
Iraq,32.49,43.8069,2022,23
Iraq,32.49,43.8069,2023,19
Iraq,32.49,43.8069,2024,38
Iraq,32.49,43.8069,2025,29
Iraq,32.5765,44.6371,2020,107
Iraq,32.5765,44.6371,2021,116
Iraq,32.5765,44.6371,2022,75
Iraq,32.5765,44.6371,2023,36
Iraq,32.5765,44.6371,2024,91
Iraq,32.5765,44.6371,2025,74
Iraq,32.7059,45.704,2020,211
Iraq,32.7059,45.704,2021,126
Iraq,32.7059,45.704,2022,97
Iraq,32.7059,45.704,2023,46
Iraq,32.7059,45.704,2024,44
Iraq,32.7059,45.704,2025,59
Iraq,33.1774,41.3987,2020,255
Iraq,33.1774,41.3987,2021,414
Iraq,33.1774,41.3987,2022,229
Iraq,33.1774,41.3987,2023,289
Iraq,33.1774,41.3987,2024,441
Iraq,33.1774,41.3987,2025,380
Iraq,33.278,44.3783,2020,643
Iraq,33.278,44.3783,2021,629
Iraq,33.278,44.3783,2022,652
Iraq,33.278,44.3783,2023,560
Iraq,33.278,44.3783,2024,601
Iraq,33.278,44.3783,2025,344
Iraq,34.0711,44.8903,2020,606
Iraq,34.0711,44.8903,2021,692
Iraq,34.0711,44.8903,2022,397
Iraq,34.0711,44.8903,2023,175
Iraq,34.0711,44.8903,2024,205
Iraq,34.0711,44.8903,2025,116
Iraq,34.6687,43.6316,2020,383
Iraq,34.6687,43.6316,2021,457
Iraq,34.6687,43.6316,2022,260
Iraq,34.6687,43.6316,2023,137
Iraq,34.6687,43.6316,2024,136
Iraq,34.6687,43.6316,2025,118
Iraq,35.2858,44.0603,2020,356
Iraq,35.2858,44.0603,2021,533
Iraq,35.2858,44.0603,2022,348
Iraq,35.2858,44.0603,2023,193
Iraq,35.2858,44.0603,2024,200
Iraq,35.2858,44.0603,2025,159
Iraq,35.5263,45.379,2020,195
Iraq,35.5263,45.379,2021,236
Iraq,35.5263,45.379,2022,217
Iraq,35.5263,45.379,2023,252
Iraq,35.5263,45.379,2024,290
Iraq,35.5263,45.379,2025,213
Iraq,35.9879,42.3496,2020,265
Iraq,35.9879,42.3496,2021,403
Iraq,35.9879,42.3496,2022,390
Iraq,35.9879,42.3496,2023,283
Iraq,35.9879,42.3496,2024,537
Iraq,35.9879,42.3496,2025,258
Iraq,36.3791,44.2104,2020,421
Iraq,36.3791,44.2104,2021,357
Iraq,36.3791,44.2104,2022,516
Iraq,36.3791,44.2104,2023,792
Iraq,36.3791,44.2104,2024,1600
Iraq,36.3791,44.2104,2025,528
Iraq,37.0446,43.1386,2020,979
Iraq,37.0446,43.1386,2021,1967
