COUNTRY,EVENT_TYPE,EVENTS
Bahrain,Protests,3672
Bahrain,Riots,626
Bahrain,Strategic developments,106
Bahrain,Violence against civilians,42
Iran,Battles,314
Iran,Explosions/Remote violence,499
Iran,Protests,19574
Iran,Riots,873
Iran,Strategic developments,1026
Iran,Violence against civilians,583
Iraq,Battles,7221
Iraq,Explosions/Remote violence,18911
Iraq,Protests,7174
Iraq,Riots,1055
Iraq,Strategic developments,6104
Iraq,Violence against civilians,2318
Israel,Battles,336
Israel,Explosions/Remote violence,4627
Israel,Protests,8187
Israel,Riots,1003
Israel,Strategic developments,1933
Israel,Violence against civilians,225
Jordan,Battles,45
Jordan,Explosions/Remote violence,6
Jordan,Protests,1795
Jordan,Riots,184
Jordan,Strategic developments,86
Jordan,Violence against civilians,5
Kuwait,Protests,52
Kuwait,Riots,2
Kuwait,Strategic developments,32
Lebanon,Battles,703
Lebanon,Explosions/Remote violence,16565
Lebanon,Protests,6537
Lebanon,Riots,1975
Lebanon,Strategic developments,2373
Lebanon,Violence against civilians,268
Oman,Battles,1
Oman,Explosions/Remote violence,1
Oman,Protests,20
Oman,Riots,6
Oman,Strategic developments,26
Oman,Violence against civilians,4
Palestine,Battles,5437
Palestine,Explosions/Remote violence,21719
Palestine,Protests,3639
Palestine,Riots,21445
Palestine,Strategic developments,11194
Palestine,Violence against civilians,4992
Qatar,Explosions/Remote violence,2
Qatar,Protests,41
Qatar,Riots,1
Qatar,Strategic developments,16
Saudi Arabia,Battles,7
Saudi Arabia,Explosions/Remote violence,159
Saudi Arabia,Protests,5
Saudi Arabia,Riots,1
Saudi Arabia,Strategic developments,280
Saudi Arabia,Violence against civilians,19
Syria,Battles,13376
Syria,Explosions/Remote violence,33944
Syria,Protests,4683
Syria,Riots,530
Syria,Strategic developments,8820
Syria,Violence against civilians,11468
Turkey,Battles,765
Turkey,Explosions/Remote violence,703
Turkey,Protests,24237
Turkey,Riots,448
Turkey,Strategic developments,6179
Turkey,Violence against civilians,401
United Arab Emirates,Explosions/Remote violence,8
United Arab Emirates,Protests,8
United Arab Emirates,Riots,2
United Arab Emirates,Strategic developments,19
United Arab Emirates,Violence against civilians,5
Yemen,Battles,12862
Yemen,Explosions/Remote violence,17151
Yemen,Protests,19535
Yemen,Riots,478
Yemen,Strategic developments,4867
Yemen,Violence against civilians,3815
